simID scen  seed	nr	nt	mu	nhd	var_case	var_casetest	var_readercase	var_error	var_reader	var_readertest
66	LL	66	10	2	2.5	50	0.1	0.1	0.2	0.6	0.0055	0.0055
67	HH	67	10	2	0.75	50	0.3	0.3	0.2	0.2	0.011	0.011
68	HH	68	10	2	1.5	50	0.3	0.3	0.2	0.2	0.03	0.03
69	HH	69	10	2	2.5	50	0.3	0.3	0.2	0.2	0.056	0.056
70	LH	70	10	2	0.75	50	0.1	0.1	0.2	0.6	0.011	0.011
71	LH	71	10	2	1.5	50	0.1	0.1	0.2	0.6	0.03	0.03
72	LH	72	10	2	2.5	50	0.1	0.1	0.2	0.6	0.056	0.056
73	HL	73	3	2	0.75	100	0.3	0.3	0.2	0.2	0.0055	0.0055
74	HL	74	3	2	1.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
75	HL	75	3	2	2.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
76	LL	76	3	2	0.75	100	0.1	0.1	0.2	0.6	0.0055	0.0055
77	LL	77	3	2	1.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
78	LL	78	3	2	2.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
79	HH	79	3	2	0.75	100	0.3	0.3	0.2	0.2	0.011	0.011
80	HH	80	3	2	1.5	100	0.3	0.3	0.2	0.2	0.03	0.03
81	HH	81	3	2	2.5	100	0.3	0.3	0.2	0.2	0.056	0.056
82	LH	82	3	2	0.75	100	0.1	0.1	0.2	0.6	0.011	0.011
83	LH	83	3	2	1.5	100	0.1	0.1	0.2	0.6	0.03	0.03
84	LH	84	3	2	2.5	100	0.1	0.1	0.2	0.6	0.056	0.056
85	HL	85	5	2	0.75	100	0.3	0.3	0.2	0.2	0.0055	0.0055
86	HL	86	5	2	1.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
87	HL	87	5	2	2.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
88	LL	88	5	2	0.75	100	0.1	0.1	0.2	0.6	0.0055	0.0055
89	LL	89	5	2	1.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
90	LL	90	5	2	2.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
91	HH	91	5	2	0.75	100	0.3	0.3	0.2	0.2	0.011	0.011
92	HH	92	5	2	1.5	100	0.3	0.3	0.2	0.2	0.03	0.03
93	HH	93	5	2	2.5	100	0.3	0.3	0.2	0.2	0.056	0.056
94	LH	94	5	2	0.75	100	0.1	0.1	0.2	0.6	0.011	0.011
95	LH	95	5	2	1.5	100	0.1	0.1	0.2	0.6	0.03	0.03
96	LH	96	5	2	2.5	100	0.1	0.1	0.2	0.6	0.056	0.056
97	HL	97	10	2	0.75	100	0.3	0.3	0.2	0.2	0.0055	0.0055
98	HL	98	10	2	1.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
99	HL	99	10	2	2.5	100	0.3	0.3	0.2	0.2	0.0055	0.0055
100	LL	100	10	2	0.75	100	0.1	0.1	0.2	0.6	0.0055	0.0055
101	LL	101	10	2	1.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
102	LL	102	10	2	2.5	100	0.1	0.1	0.2	0.6	0.0055	0.0055
103	HH	103	10	2	0.75	100	0.3	0.3	0.2	0.2	0.011	0.011
104	HH	104	10	2	1.5	100	0.3	0.3	0.2	0.2	0.03	0.03
105	HH	105	10	2	2.5	100	0.3	0.3	0.2	0.2	0.056	0.056
106	LH	106	10	2	0.75	100	0.1	0.1	0.2	0.6	0.011	0.011
107	LH	107	10	2	1.5	100	0.1	0.1	0.2	0.6	0.03	0.03
108	LH	108	10	2	2.5	100	0.1	0.1	0.2	0.6	0.056	0.056
