simID scen  seed	nr	nt	mu	nhd	var_case0	var_casetest0	var_readercase0	var_error0	var_case1	var_casetest1	var_readercase1	var_error1	var_reader	var_readertest
46	LH	1046	3	2	0.821	50	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
47	LH	1047	3	2	1.831	50	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
48	LH	1048	3	2	3.661	50	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
49	HL	1049	5	2	0.821	50	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0066	0.0066
50	HL	1050	5	2	1.831	50	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0082	0.0082
51	HL	1051	5	2	3.661	50	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.0118	0.0118
52	LL	1052	5	2	0.821	50	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.28	0.0066	0.0066
53	LL	1053	5	2	1.831	50	0.1	0.1	0.2	0.6	0.2	0.2	0.4	0.19	0.0082	0.0082
54	LL	1054	5	2	3.661	50	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.0118	0.0118
55	HH	1055	5	2	0.821	50	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0132	0.0132
56	HH	1056	5	2	1.831	50	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0447	0.0447
57	HH	1057	5	2	3.661	50	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.1201	0.1201
58	LH	1058	5	2	0.821	50	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
59	LH	1059	5	2	1.831	50	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
60	LH	1060	5	2	3.661	50	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
61	HL	1061	10	2	0.821	50	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0066	0.0066
62	HL	1062	10	2	1.831	50	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0082	0.0082
63	HL	1063	10	2	3.661	50	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.0118	0.0118
64	LL	1064	10	2	0.821	50	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.28	0.0066	0.0066
65	LL	1065	10	2	1.831	50	0.1	0.1	0.2	0.6	0.2	0.2	0.4	0.19	0.0082	0.0082
66	LL	1066	10	2	3.661	50	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.0118	0.0118
67	HH	1067	10	2	0.821	50	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0132	0.0132
68	HH	1068	10	2	1.831	50	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0447	0.0447
69	HH	1069	10	2	3.661	50	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.1201	0.1201
70	LH	1070	10	2	0.821	50	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
71	LH	1071	10	2	1.831	50	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
72	LH	1072	10	2	3.661	50	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
73	HL	1073	3	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0066	0.0066
74	HL	1074	3	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0082	0.0082
75	HL	1075	3	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.0118	0.0118
